NEURON;SYNAPSE;GAUSS-RAD;LOG-FACTOR;VOTE-PARAM;HIT
34x18;8;7;8;3;0.023255814
34x18;8;7;10;2;0.023255814
34x18;8;7;10;2.5;0.023255814
34x18;8;7;10;3;0.023255814
34x18;8;9;2;2;0.023255814
34x18;8;9;2;2.5;0.023255814
34x18;8;9;2;3;0.023255814
34x18;8;9;4;2;0.023255814
34x18;8;9;4;2.5;0.023255814
34x18;8;9;4;3;0.023255814
34x18;8;9;6;2;0.023255814
34x18;8;9;6;2.5;0.023255814
34x18;8;9;6;3;0.023255814
34x18;8;9;8;2;0.023255814
34x18;8;9;8;2.5;0.023255814
34x18;8;9;8;3;0.023255814
34x18;8;9;10;2;0.023255814
34x18;8;9;10;2.5;0.023255814
34x18;8;9;10;3;0.023255814
34x18;16;1;2;2;0.023255814
34x18;16;1;2;2.5;0.023255814
34x18;16;1;2;3;0.023255814
34x18;16;1;4;2;0.023255814
34x18;16;1;4;2.5;0.023255814
34x18;16;1;4;3;0.023255814
34x18;16;1;6;2;0.023255814
34x18;16;1;6;2.5;0.023255814
34x18;16;1;6;3;0.023255814
34x18;16;1;8;2;0.023255814
34x18;16;1;8;2.5;0.023255814
34x18;16;1;8;3;0.023255814
34x18;16;1;10;2;0.023255814
34x18;16;1;10;2.5;0.023255814
34x18;16;1;10;3;0.023255814
34x18;16;3;2;2;0.0837209302
34x18;16;3;2;2.5;0.0906976744
34x18;16;3;2;3;0.0837209302
34x18;16;3;4;2;0.1
34x18;16;3;4;2.5;0.0953488372
34x18;16;3;4;3;0.0906976744
34x18;16;3;6;2;0.1023255814
34x18;16;3;6;2.5;0.1023255814
34x18;16;3;6;3;0.1023255814
34x18;16;3;8;2;0.1139534884
34x18;16;3;8;2.5;0.1093023256
34x18;16;3;8;3;0.1046511628
34x18;16;3;10;2;0.111627907
34x18;16;3;10;2.5;0.1023255814
34x18;16;3;10;3;0.1
34x18;16;5;2;2;0.2558139535
34x18;16;5;2;2.5;0.2465116279
34x18;16;5;2;3;0.2372093023
34x18;16;5;4;2;0.311627907
34x18;16;5;4;2.5;0.3069767442
34x18;16;5;4;3;0.3046511628
34x18;16;5;6;2;0.3395348837
34x18;16;5;6;2.5;0.3348837209
34x18;16;5;6;3;0.3279069767
34x18;16;5;8;2;0.3604651163
34x18;16;5;8;2.5;0.3604651163
34x18;16;5;8;3;0.3558139535
34x18;16;5;10;2;0.388372093
34x18;16;5;10;2.5;0.3837209302
34x18;16;5;10;3;0.3744186047
34x18;16;7;2;2;0.3279069767
34x18;16;7;2;2.5;0.3348837209
34x18;16;7;2;3;0.3093023256
34x18;16;7;4;2;0.423255814
34x18;16;7;4;2.5;0.4046511628
34x18;16;7;4;3;0.3953488372
34x18;16;7;6;2;0.4930232558
34x18;16;7;6;2.5;0.4720930233
34x18;16;7;6;3;0.4581395349
34x18;16;7;8;2;0.4697674419
34x18;16;7;8;2.5;0.4720930233
34x18;16;7;8;3;0.4604651163
34x18;16;7;10;2;0.5441860465
34x18;16;7;10;2.5;0.5325581395
34x18;16;7;10;3;0.5325581395
34x18;16;9;2;2;0.3139534884
34x18;16;9;2;2.5;0.3023255814
34x18;16;9;2;3;0.3093023256
34x18;16;9;4;2;0.3930232558
34x18;16;9;4;2.5;0.3953488372
34x18;16;9;4;3;0.388372093
34x18;16;9;6;2;0.4720930233
34x18;16;9;6;2.5;0.4627906977
34x18;16;9;6;3;0.4604651163
34x18;16;9;8;2;0.5046511628
34x18;16;9;8;2.5;0.4860465116
34x18;16;9;8;3;0.476744186
34x18;16;9;10;2;0.5046511628
34x18;16;9;10;2.5;0.488372093
34x18;16;9;10;3;0.4720930233
34x18;32;1;2;2;0.0255813953
34x18;32;1;2;2.5;0.0255813953
34x18;32;1;2;3;0.0255813953
34x18;32;1;4;2;0.0279069767
34x18;32;1;4;2.5;0.0279069767
34x18;32;1;4;3;0.0279069767
34x18;32;1;6;2;0.0279069767
34x18;32;1;6;2.5;0.0279069767
34x18;32;1;6;3;0.0279069767
34x18;32;1;8;2;0.0279069767
34x18;32;1;8;2.5;0.0279069767
34x18;32;1;8;3;0.0279069767
34x18;32;1;10;2;0.0302325581
34x18;32;1;10;2.5;0.0279069767
34x18;32;1;10;3;0.0279069767
34x18;32;3;2;2;0.3813953488
34x18;32;3;2;2.5;0.3930232558
34x18;32;3;2;3;0.3813953488
34x18;32;3;4;2;0.4279069767
34x18;32;3;4;2.5;0.4465116279
34x18;32;3;4;3;0.423255814
34x18;32;3;6;2;0.4651162791
34x18;32;3;6;2.5;0.488372093
34x18;32;3;6;3;0.4813953488
34x18;32;3;8;2;0.5139534884
34x18;32;3;8;2.5;0.5023255814
